lower Sales,upper Sales,predicted_mean
6295.1868432277315,28310.31628331099,17302.75156326936
7319.110200344177,30505.191585001616,18912.150892672897
7361.56607765347,30946.503114721665,19154.03459618757
7546.22913001167,31422.69210151826,19484.460615764965
8107.248195788474,32318.07386968832,20212.661032738397
7509.554928836949,32003.86960530033,19756.71226706864
